,dates,NEE_uStar_f,LH_f,VPD_orig,Tower_T,2DWindspeed,NetRadi,H2,O18,C13
63,2017-11-03,,,,,,,,,
64,2017-11-04,,,,,,,,,
65,2017-11-05,,,,,,,,,
66,2017-11-06,,,,,,,,,
67,2017-11-07,,,,,,,,,
68,2017-11-08,,,,,,,,,
69,2017-11-09,,,,,,,,,
70,2017-11-10,,,,,,,,,
71,2017-11-11,,,,,,,,,
72,2017-11-12,,,,,,,,,
73,2017-11-13,,,,,,,,,
74,2017-11-14,,,,,,,,,
75,2017-11-15,,,,,,,,,
76,2017-11-16,,,,,,,,,
77,2017-11-17,,,,,,,,,
78,2017-11-18,,,,,,,,,
79,2017-11-19,,,,,,,,,
80,2017-11-20,,,,,,,,,
81,2017-11-21,,,,,,,,,
82,2017-11-22,,,,,,,,,
83,2017-11-23,,,,,,,,,
84,2017-11-24,,,,,,,,,
85,2017-11-25,,,,,,,,,
86,2017-11-26,,,,,,,,,
87,2017-11-27,,,,,,,,,
88,2017-11-28,,,,,,,,,
89,2017-11-29,,,,,,,,,
90,2017-11-30,,,,,,,,,
91,2017-12-01,,,,,,,,,
92,2017-12-02,,,,,,,,,
93,2017-12-03,,,,,,,,,
94,2017-12-04,,,,,,,,,
95,2017-12-05,,,,,,,,,
96,2017-12-06,,,,,,,,,
97,2017-12-07,,,,,,,,,
98,2017-12-08,,,,,,,,,
99,2017-12-09,,,,,,,,,
100,2017-12-10,,,,,,,,,
101,2017-12-11,,,,,,,,,
102,2017-12-12,,,,,,,,,
103,2017-12-13,,,,,,,,,
104,2017-12-14,,,,,,,,,
105,2017-12-15,,,,,,,,,
106,2017-12-16,,,,,,,,,
107,2017-12-17,,,,,,,,,
108,2017-12-18,,,,,,,,,
109,2017-12-19,,,,,,,,,
110,2017-12-20,,,,,,,,,
111,2017-12-21,,,,,,,,,
112,2017-12-22,,,,,,,,,
113,2017-12-23,,,,,,,,,
114,2017-12-24,,,,,,,,,
115,2017-12-25,,,,,,,,,
116,2017-12-26,,,,,,,,,
117,2017-12-27,,,,,,,,,
118,2017-12-28,,,,,,,,,
119,2017-12-29,,,,,,,,,
120,2017-12-30,,,,,,,,,
121,2017-12-31,,,,,,,,,
122,2018-01-01,,,,,,,,,
123,2018-01-02,,,,,,,,,
124,2018-01-03,,,,,,,,,
125,2018-01-04,,,,,,,,,
126,2018-01-05,,,,,,,,,
127,2018-01-06,,,,,,,,,
128,2018-01-07,,,,,,,,,
129,2018-01-08,,,,,,,,,
130,2018-01-09,,,,,,,,,
131,2018-01-10,,,,,,,,,
132,2018-01-11,,,,,,,,,
133,2018-01-12,,,,,,,,,
134,2018-01-13,,,,,,,,,
135,2018-01-14,,,,,,,,,
136,2018-01-15,,,,,,,,,
137,2018-01-16,,,,,,,,,
138,2018-01-17,,,,,,,,,
139,2018-01-18,,,,,,,,,
140,2018-01-19,,,,,,,,,
141,2018-01-20,,,,,,,,,
142,2018-01-21,,,,,,,,,
143,2018-01-22,,,,,,,,,
144,2018-01-23,,,,,,,,,
145,2018-01-24,,,,,,,,,
146,2018-01-25,,,,,,,,,
147,2018-01-26,,,,,,,,,
148,2018-01-27,,,,,,,,,
149,2018-01-28,,,,,,,,,
150,2018-01-29,,,,,,,,,
151,2018-01-30,,,,,2.448060411354576,,,,
152,2018-01-31,-0.7344432183961438,9.145926953018613,,,1.034857896289174,,,-10.4585867660746,
153,2018-02-01,-0.14315176986111125,6.925042495416666,,,0.7706943830646421,,-155.54935087189,-20.8442035428964,
154,2018-02-02,-1.7228267982853833,21.530236277905093,,,2.1707249129529984,,-98.5562985681273,-12.7096479469889,-26.8710697847984
155,2018-02-03,-2.3021921712640543,44.45334861261296,,,2.6394697907294007,,,,-27.5968841930529
156,2018-02-04,-0.9002103140151512,37.943239600378796,,,2.2906463654224316,,,,-27.1118048712849
157,2018-02-05,-0.49624449155566164,21.686241246539353,,,1.7793375499710768,,-92.5443509278169,-9.95831671974637,-27.2552418711806
158,2018-02-06,-1.1960465353472218,24.416692010416668,,,1.8913314290103498,,,,-29.1846194706862
159,2018-02-07,-1.3075487645833335,23.02334762291667,,,1.1842642384099118,,-97.7858288579002,,-28.4991029305674
160,2018-02-08,-0.6612721270833334,9.53383136111111,,,1.39286737510174,,-90.9222313131272,-14.9850877091639,-28.4429909452813
161,2018-02-09,-1.4554082620833333,26.62637150833333,,,2.1834854588252823,,,,-27.4852649515091
162,2018-02-10,-0.2669197989583333,14.531974381458333,,,1.004987537008956,,,,-27.3325041225986
163,2018-02-11,-1.1224604991319445,13.715849242083335,,,1.338084050229228,,,,-29.228079257226
164,2018-02-12,-0.4609032015624999,17.914713927083337,,,2.131799308462137,,,,-28.1631576984501
165,2018-02-13,0.10564983645833333,11.688765904062501,,,1.3633070216323262,,,,-27.9390554397687
166,2018-02-14,-1.3322195332423943,16.499076950892857,,,1.5025731589346811,,,,-29.2842081536774
167,2018-02-15,-1.6176783288963295,7.976029314513883,,,1.0442752488740776,,,,-28.5318507087008
168,2018-02-16,-3.1956038516468257,26.71378364334491,,,1.4983510838570313,,,,-27.9180895334613
169,2018-02-17,0.17685273532986137,32.39191584305556,,,2.668288163844531,,,,-27.8319829541068
170,2018-02-18,-0.5368444912294824,17.428082428472237,,,2.5594826722919346,,,,
171,2018-02-19,0.3832677314583331,20.686956720833333,,,2.153948128960932,,,,
172,2018-02-20,0.36959100208085344,13.599561043958333,,,0.9346121815618539,,,,
173,2018-02-21,0.7296867810023153,27.987157174266525,,,1.4372819654068676,,,,
174,2018-02-22,0.9992202858099307,34.862881854894006,,,1.6846764285305056,,,,
175,2018-02-23,0.6488190721180552,28.273729981562497,,,1.6408686971635411,,,,
176,2018-02-24,-0.31638084094990077,16.10390029552745,,,2.5870680703416955,,,,
177,2018-02-25,0.24938146617063497,6.031773358858796,,,2.46074013539589,,,,
178,2018-02-26,-0.6794006753240738,10.701221647252813,,,1.4357912106808652,,,,
179,2018-02-27,-1.2077146036626987,12.063512637044063,,,1.516924098648018,,,,
180,2018-02-28,0.7680559066038363,2.998706180367062,,,1.8334932996762465,,,,-24.9014050922199
181,2018-03-01,-0.9187496433730159,20.491887499881283,,,1.2442379980432945,,,,
182,2018-03-02,-1.2934610746950241,10.231287393269755,,,1.9090676650717517,,,,-26.9360884292688
183,2018-03-03,-1.7109620096610447,18.330473395681775,,,1.1267046465365376,,,,
184,2018-03-04,-1.0448204409027777,16.822670132291666,,,1.2304741690439454,,,,
185,2018-03-05,-1.6965993351185524,19.928004749589643,,,1.58664860582305,,,,-30.4933567615421
186,2018-03-06,-2.0540541233246272,15.522980426314485,,,1.4026684219046859,,,,-29.2661673536079
187,2018-03-07,-2.123025021909392,15.527658948541665,,,1.746581871173179,,,,-25.7570038492298
188,2018-03-08,-1.4836072942013887,21.822523840112414,,,1.4219029622830834,,-103.960499621982,,-28.3459255691262
189,2018-03-09,-0.8398795419196428,48.276471605302596,,,2.5018248703623316,,-145.024974243776,-16.8385892615414,-28.6603109371688
190,2018-03-10,-1.196363200870867,33.59396794933202,,,1.8458433806788193,,-118.468732039271,,-25.8119671120892
191,2018-03-11,-1.3669459389583336,37.50796849166667,,,2.0554497538700693,,,,-28.3816493205617
192,2018-03-12,-2.3518540888541666,30.537536931249992,,,2.2129936534789234,,-142.403525085224,,-27.7577361934734
193,2018-03-13,-0.9927450493055554,13.056359263888893,,,1.5194752372737803,,-173.453046385535,,-29.4210930797187
194,2018-03-14,-3.892898582638889,30.178456076666674,,,1.3480958300580645,,,-24.1033042364969,-29.0092660112418
195,2018-03-15,-2.4909064246874997,27.645126260624995,,,1.5140196939125106,,,,-29.1356572160428
196,2018-03-16,-1.0246387907986108,14.636887485416663,,,1.1062075437760444,,,,-29.7466163945172
197,2018-03-17,-1.4201544175347223,20.313834854166664,,,1.3020260358571758,,,,-30.5008008150381
198,2018-03-18,-1.3901271170486116,20.959975691666667,,,1.296004380866792,,-157.744061405897,,-26.8086863008507
199,2018-03-19,-2.356303259826389,28.48443055732639,,,1.253369630591382,,-116.624800977107,,-29.3031592994352
200,2018-03-20,-2.3739132265625,29.282149375000003,,,1.3539759834020508,,-118.5630565744,,-27.6181622566816
201,2018-03-21,-2.72821398823082,20.84222932544312,,,1.1223829950515023,,-123.367483484392,,-28.7737013661171
202,2018-03-22,-2.5228042137499993,6.38266482172033,,,1.5497232768457694,,,,
203,2018-03-23,-2.015000328760583,-2.7993489632154933,,,1.694626465917846,,,,-28.1543236248026
204,2018-03-24,-1.1020167808085317,0.3322542696145833,,,1.4478166314806367,,,,
205,2018-03-25,-2.795175944997602,35.775329509821596,,,1.4050049926911758,,,,-27.6310354922725
206,2018-03-26,-3.8648923961350863,41.21720803385745,,,1.4849255713134129,,,,-28.9353985987964
207,2018-03-27,-4.570006711299437,35.62365193197033,,,2.1495923322044397,,,,-28.8490687449124
208,2018-03-28,-3.5026367185416665,34.62740794583333,,,2.240715809493479,,,,-27.6567158073968
209,2018-03-29,-2.925286747743056,34.401980826041665,,,1.6470230653300304,,,,-30.6952763132359
210,2018-03-30,-3.24306162671875,19.70749467708333,,,2.188815641806236,,,,-29.1966738375338
211,2018-03-31,-4.64920044375,37.0448025,,,1.5863600537421023,,-104.456129473517,,-29.7777297893121
212,2018-04-01,-2.0087635512847224,21.042535767708337,,,1.6782142452723987,,-133.59521349358,,
213,2018-04-02,-3.0570442505208337,67.90986616249998,,,2.80405029634028,,,,
214,2018-04-03,-2.725224368315972,19.28474878333333,,,1.1495768937371749,,,,-27.5441951117448
215,2018-04-04,-3.532464742708333,29.196376200000007,,,1.5345832521995024,,-131.687269721857,,-28.5686545263676
216,2018-04-05,-1.8583589926785715,10.715986206111111,,,1.03529832072538,,,,-28.1117134390456
217,2018-04-06,-3.0057822958407736,39.54655999525631,,,1.3948673219950036,,,,-28.6472815825923
218,2018-04-07,-1.731977463541667,55.651866685763885,,,2.639090388109024,,,,-26.6261089665979
219,2018-04-08,-1.0584811051388885,29.52360507638889,,,2.9631563868252964,,,,-27.6769416713433
220,2018-04-09,-2.5313729143728954,21.79729729825337,,,1.2631989039285358,,,,
221,2018-04-10,-1.9356614385648154,16.986927255902017,,,1.4547716433760103,,-135.665621617992,-21.3148371700813,-30.1965015099438
222,2018-04-11,-2.779991117013888,29.834803100954858,,,1.2599691876948567,,-131.020054888437,-15.9610709532314,-29.2066702238314
223,2018-04-12,-1.7315626489791667,28.34723962774621,,,1.3771793110047628,,,,
224,2018-04-13,-1.1325620260416667,18.007237709027777,,,1.8961292702292045,,,,
225,2018-04-14,-3.248025026276041,39.44123060345982,,,2.0584355035824697,,,,-29.117656191916
226,2018-04-15,1.5303129220833334,0.5892801864583336,,,1.4112460680305268,,,,-28.5062718373138
227,2018-04-16,0.9145186162152794,1.2595175773958296,,,,,,,
228,2018-04-17,-4.088953988834174,27.463534178055557,,,2.096445446486164,,,,
229,2018-04-18,,31.915244839583334,,,1.2053835952501815,,-83.1047082190294,,-29.9537432528767
230,2018-04-19,-3.6928174427083333,64.63184943680557,,,1.5635049907944172,,-105.39897544406,,-30.6500035498238
231,2018-04-20,-3.2673608968749996,56.69315659305557,,,1.7112967668008041,,-104.275588430324,,-28.68663992247
232,2018-04-21,-2.2331654854166665,76.17166827683079,,,2.5569562756421127,,-94.3744421695297,,-26.272833619729
233,2018-04-22,-3.266018194965278,40.653745085416666,,,1.6524688968490346,,-99.821470065184,,-28.0524397535563
234,2018-04-23,-3.30857315666411,50.713690511787526,,,2.8186901060865384,,,,-28.9312045800012
235,2018-04-24,-2.4031554691782406,62.85168948958332,,,3.2472785779054534,,-99.0108294035888,,-28.5048334836219
236,2018-04-25,-0.507455214960543,67.34987225520833,,,1.9313286251788864,,-99.9744624429005,,
237,2018-04-26,-2.096977362847222,62.54590890176768,,,2.3606382379810658,,-93.4511369252907,,
238,2018-04-27,2.4068817561011904,34.83214373958334,,,2.5263757070588415,,,,
239,2018-04-28,-2.613578188335737,40.797552459671714,,,1.807913523155211,,,,
240,2018-04-29,-4.303311600694443,36.40672666534375,,,1.895023131938417,,,,
241,2018-04-30,,44.93260931944445,,,2.3814003666331054,,,,
242,2018-05-01,-3.150697630208333,37.73459391666667,,,3.037538987907744,,,,
243,2018-05-02,-2.818932835047123,40.66490991474372,,,1.87676483616976,,-100.129098142211,,
244,2018-05-03,-2.097597574444445,48.48729707708332,,,1.8295182034622488,,-87.5770961857536,,
245,2018-05-04,-0.902223968750001,49.40400086805557,,,2.2452529737317093,,-83.8486749490868,,
246,2018-05-05,-1.5199354753472223,55.03049055347223,,,1.7282900962864958,,,,
247,2018-05-06,-1.7614476159722212,48.15360023958334,,,1.9030343553736744,,-97.723384745068,,
248,2018-05-07,-1.1460036367013888,47.79797327916668,,,2.0702121542066476,,-122.573003871655,,
249,2018-05-08,2.303030502256942,50.22773495954862,,,1.932096276783198,,,,
250,2018-05-09,1.9404794704850434,58.830160693762956,,,1.6209670676694037,,,,
251,2018-05-10,1.9799714772631845,58.568338999318506,,,1.9603962162777153,,,,
252,2018-05-11,1.6440960680774992,56.700335984275206,,,3.259718314464162,,,,
253,2018-05-12,-1.9018758070230672,42.426840704899604,6.907105654731697,13.759827083333334,2.2289652389180836,227.19250000000002,,,
254,2018-05-13,,53.905688956792346,12.791952323169355,18.861227083333333,1.7722128477068877,270.29487179487177,,,
255,2018-05-14,,56.291228890881406,16.300924415623527,20.933656250000002,1.9480230865062553,284.49270270270273,,,
256,2018-05-15,0.794170261009278,47.118495340553956,11.887919686834122,18.751610416666665,2.4322404827134663,345.4121212121212,,,
257,2018-05-16,0.06111487631137988,29.58186157119461,4.84149926065072,14.960989583333337,2.373879036971009,87.25833333333334,,,
258,2018-05-17,-1.6294820355181914,37.4010696708525,5.12958568047729,13.855652083333338,2.504763824972903,211.86291666666662,,,
259,2018-05-18,-2.728828973803983,32.57273776607985,4.563211234488839,13.04706875,1.5695303386132986,128.52916666666667,,,
260,2018-05-19,-2.057614253702124,35.352870563550894,5.064982335639491,14.339860416666667,1.2538928172070507,123.97,,,
261,2018-05-20,-2.5799942760855457,38.93894573621826,6.064513745507393,15.069108333333334,2.032679505464269,190.08416666666668,,,
262,2018-05-21,-2.1428390629058724,34.392480763901425,7.12438119339114,14.135285416666663,2.0661987641836688,298.00499999999994,-125.526685279524,-14.6816947156441,
263,2018-05-22,1.8078634000035967,40.32018845089815,10.806576495030422,17.888345833333336,1.938761821404234,252.82162790697674,,,
264,2018-05-23,0.2995928498951317,42.054634277236936,11.17095470862665,20.627314583333334,2.0676908690401703,278.24051282051283,,,
265,2018-05-24,0.17730642778688596,43.096720883374665,10.306220346595408,18.976368749999995,2.289654676776086,244.60425531914888,-96.8444920934926,,
266,2018-05-25,-3.5539301348495385,48.69061039672621,6.110890250070489,16.26363958333333,2.372132377300042,230.11,-100.76523313454,,
267,2018-05-26,-2.165995245842536,33.59567797272663,4.993373859099086,11.604362500000002,3.007668338294885,112.31627906976743,,,
268,2018-05-27,-1.8044657460036329,49.70194069794031,6.811446276434524,14.153241666666664,2.558303075889737,231.79130434782616,-94.8499393218356,,
269,2018-05-28,-2.3006445587508493,44.94153067409723,8.459385058317467,16.194208333333332,2.396558034396198,319.62216216216217,,,
270,2018-05-29,-2.7476372659722226,38.11737822589049,5.695762235025914,12.269366666666665,3.2949797061021417,206.78731707317078,-77.1841632486845,,
271,2018-05-30,-3.6962047687500004,44.469522811403515,6.072793590350847,10.286643749999998,2.5811014087987867,237.750243902439,,,
272,2018-05-31,-4.115493106792119,40.81957731084054,6.052361358373811,11.554233333333334,2.696914085703687,201.8846808510638,-87.7609068002051,,
273,2018-06-01,-2.821700329755373,41.685349694394844,5.216538068698407,10.781256250000004,2.276969688680369,190.25729166666667,,,
274,2018-06-02,-0.5133303982811998,42.174870033440165,9.571844031040273,14.765433333333334,1.5839726728354837,265.0725581395349,,,
275,2018-06-03,-0.6290621923170455,51.60443509876546,11.556373071616425,17.818475000000007,2.3127113474843948,270.9770270270271,-120.483609790007,,
276,2018-06-04,-2.045369463205664,36.4234684235975,6.599567499037783,13.244760416666667,2.9499828266883106,193.09708333333333,-167.976353363917,,
277,2018-06-05,-3.237913892674513,52.56646423038419,6.8033678559486335,12.043164583333336,2.202932335366765,235.3595348837209,-110.834423446592,,
278,2018-06-06,-1.6809555033680554,43.80843921285402,9.107407646601395,14.685418749999997,1.6460008100118466,276.8215789473684,,,
279,2018-06-07,-2.6051692026361057,51.70437381666667,8.274379239610562,15.721177083333332,2.3126521171643692,237.1581395348838,,,
280,2018-06-08,-2.5227956843162125,32.46307398174604,6.173575469265987,13.796160416666668,1.7226863830709798,124.7004347826087,-104.522239778246,,
281,2018-06-09,-2.7860781862813915,44.05425775911183,2.7908603156929725,10.902666666666667,1.9526480713674184,156.32541666666668,,,
282,2018-06-10,-2.125724155652283,31.174049314733736,1.19096543273311,7.550587499999999,1.4375734521551102,125.62645833333333,,,
283,2018-06-11,-2.3059977337184345,42.515357947919405,3.3423864722491263,9.330002083333332,1.6840621507911322,280.46234042553186,-112.392555625911,,
284,2018-06-12,-1.684775974139046,67.99159043571429,8.860416114532013,13.587366666666666,2.0948153809794823,281.4178947368421,-100.431456701924,,
285,2018-06-13,-1.8147971816276327,35.312278568366246,8.387178471029335,14.867572916666667,2.0243262238957342,75.65822222222224,-101.365742430976,,
286,2018-06-14,-2.401735266954334,43.21272939215687,5.456249923878212,12.2154125,2.7276908139619973,107.26434782608698,,,
287,2018-06-15,-3.5611318169642856,54.70223506954926,5.196175512399827,12.305364583333331,2.330363889350679,288.38225,-118.183157779825,,
288,2018-06-16,-0.37585000335113045,39.04117647329086,4.897635804160008,13.770795833333333,1.9259213002791917,163.58,-137.794729216415,,
289,2018-06-17,-2.2192661196679606,63.24283016825395,6.098621092996361,16.111679166666665,1.6788987762988654,244.31644444444447,,,
290,2018-06-18,-1.8840321922735523,52.900981223101866,7.944670258082525,17.977508333333336,1.6630072414706276,165.07377777777774,,,
291,2018-06-19,-1.6724955698686046,66.48818700239899,11.173070506327859,19.12763958333333,1.4033583441054882,253.7533333333333,-104.054600616693,,
292,2018-06-20,2.2647265294627226,72.64725960549774,16.674891580066028,23.24400208333333,1.7942701452214331,238.88533333333334,,,
293,2018-06-21,0.040374134072632094,58.894957054166696,8.410347092913446,18.858777083333333,2.348569359291416,158.8122916666667,,,
294,2018-06-22,-1.4719048044584102,54.0203436646795,5.790762809714454,15.906485416666667,2.7784353709920513,230.75833333333335,,,
295,2018-06-23,-3.0036140838887437,59.82220990152183,7.242769959719542,16.2416375,2.8074772539505517,212.9139583333333,,,
296,2018-06-24,1.0918112866788185,74.19825828715717,10.516310036482414,18.33490625,2.114113877156138,283.50560975609756,,,
297,2018-06-25,-1.5068881083674335,56.61715831860726,10.314162425181337,18.133231249999998,3.049309415771319,159.170625,,,
298,2018-06-26,-2.880538944797236,54.26002221750801,6.978458327337891,13.679410416666668,2.1200530638818003,300.44243902439024,-93.0217510215536,,
299,2018-06-27,0.5850572514818633,54.22044157033729,9.288967215661264,15.893514583333333,2.295535131554096,313.3191891891893,-92.8186766862244,,
300,2018-06-28,-3.0306902401295854,40.90572381082925,6.207893940564049,13.270543750000002,2.5799548992654557,169.93348837209302,,,
301,2018-06-29,-1.650774559676815,51.79600952777778,7.161868871226447,15.088054166666666,2.3035450056634095,273.53475,,,
302,2018-06-30,-1.2355709081061168,52.22740402574706,7.424008598449099,16.372529166666663,2.557116430682642,278.73756097560977,,,
303,2018-07-01,-1.784595722872443,52.12131024529915,6.580022537519999,16.2178125,2.604250358491527,226.08708333333334,,,
304,2018-07-02,-3.251384913648136,48.93478713958334,6.298637635319217,13.385091666666662,3.0828871842558727,181.44638297872342,,,
305,2018-07-03,-2.992759605578351,55.135435553141775,7.293607910845523,13.143787499999995,1.9323825288992331,255.2063636363636,,,
306,2018-07-04,-1.0155303843283154,60.772134203289454,13.278063849528145,18.571485416666672,2.06651803823789,125.4525,,,
307,2018-07-05,0.07798922610193523,65.78837558814485,11.956306110280943,19.74321458333333,1.945596353699857,246.32355555555554,-81.6990385092424,-8.38415686459309,
308,2018-07-06,0.37952275806294905,70.4694235635473,13.178310651241896,21.270797916666663,2.499902408353182,225.47297872340425,,,
309,2018-07-07,0.4172377437500003,59.26890184922618,11.047631134631118,18.287385416666666,2.3038778284727015,241.47234042553194,,,
310,2018-07-08,-1.3331103574135612,61.659250475961976,10.10112892132186,18.012880769230772,2.1236087289445713,27.87600000000001,,,
311,2018-07-09,-1.711613103028072,67.2315633420096,10.287744631450119,18.690724999999997,2.3285990418239844,225.01916666666662,,,
312,2018-07-10,-2.4230263890814934,49.14854306300608,6.9043836529233795,16.59925,2.8184310826600867,142.82999999999998,,,
313,2018-07-11,0.5101659078119453,63.15748985416667,10.95270556370127,18.329110416666662,2.098538552384004,229.172,,,
314,2018-07-12,2.4839026094276426,71.02735280744798,,23.8011875,1.8415853902524633,254.13813953488363,,,
315,2018-07-13,2.30618685417485,69.30064353228265,,24.92713958333333,2.189572324002632,312.2079999999999,-120.564018331988,,
316,2018-07-14,1.8732882635416679,66.80905885416666,,23.22533541666667,1.9456257917747282,341.57941176470587,,,
317,2018-07-15,3.475263717696654,68.03519509404761,,25.43241458333333,1.740729870438632,319.5074285714286,-114.640701044299,,
318,2018-07-16,2.2476229216113075,70.27970479048297,,25.952308333333338,1.9215050254456092,305.1883333333334,-103.750432963292,,
319,2018-07-17,-0.1973316443029632,51.91023156363294,,24.366408333333336,2.3278017928971435,359.27030303030307,,,
320,2018-07-18,-1.6801905183583914,56.92986200285548,12.391692191652274,20.304747916666663,2.395837625746544,308.1517142857143,-103.193217505821,,-25.8523413312646
321,2018-07-19,-1.0228837799739001,48.086598813888884,7.908284011337927,17.7965,2.776012721982099,253.55953488372097,,,-26.250919250293
322,2018-07-20,-0.2846121455522491,50.960749091666656,7.701888077794095,15.334597916666668,3.155389364368036,248.6565909090909,-105.150388009016,,-26.8018501436339
323,2018-07-21,-0.7637874960590277,51.72626844788994,10.060713624577689,16.778391666666668,2.5049910177280705,293.1707894736842,-76.3286376999359,,-26.8594176991245
324,2018-07-22,1.1434438362673625,64.91004974431286,14.476990066340589,19.586108333333332,2.134639077958577,298.677027027027,,,-26.2271028608188
325,2018-07-23,0.5285174741046625,58.822591801369065,,23.15767083333333,1.6819306934169331,346.068125,,,-26.818959755412
326,2018-07-24,0.08375791229303081,66.0373725768684,,24.033612500000004,1.9296410706068967,363.90903225806454,-99.7224388660494,,-26.373481451401
327,2018-07-25,0.2599362312400794,57.9445857152778,,24.216437499999998,2.064085786859506,316.4593939393939,-89.6743844095214,,-25.9637523708592
328,2018-07-26,1.2283789767349818,57.56598863662165,,24.698327083333336,2.1626814589292622,333.2933333333334,-86.4091068663507,,-26.0672276110204
329,2018-07-27,1.287656149858913,62.70745210951788,,23.9151375,2.041607311297994,345.9065625,,,-26.4529942989922
330,2018-07-28,-0.6975316979050922,58.29042693210949,,23.102495833333336,1.9103714955104472,360.44161290322586,,,-26.8233069883572
331,2018-07-29,0.9213876750347229,60.78941599892473,,24.84953958333333,1.8579304061660686,299.9451428571429,-69.0132588258084,,-26.4656377036812
332,2018-07-30,-1.84005547466954,59.070679493136794,,25.404887500000005,1.8841537983286465,296.1869696969697,-64.7643168283498,,-26.3145827750405
333,2018-07-31,0.8172973895012491,64.8312092062658,16.592890947657818,24.91057291666667,1.9727038242306538,239.06232558139536,,,-26.6192711691139
334,2018-08-01,-0.08190405142789091,30.633199259924254,14.942564162851632,21.902347916666667,1.9721412604940405,338.8321875,,,
335,2018-08-02,-1.0730173148999536,47.66362256149524,10.800865345793119,18.520781250000002,2.491415357584892,294.78000000000003,,,-26.4383298140793
336,2018-08-03,-1.0220783626578276,36.38561284097223,6.363312958750573,16.325827083333333,2.6180261488727337,97.34083333333335,,,-28.1085990374854
337,2018-08-04,-2.0035356460714286,45.86180263873106,7.6213532506337005,16.90353125,1.7482624775602806,250.27904761904765,-108.024624722929,,-26.5231035693664
338,2018-08-05,-0.18072406114267617,55.0580435814128,12.958022011985946,20.724791666666665,1.6243956785771048,311.77411764705886,,,-26.4714272379718
339,2018-08-06,-0.5094001685180319,57.0432565877976,,22.93675416666667,1.5367543058162403,268.69514285714286,-88.0822568990398,,-25.9727519212263
340,2018-08-07,1.0962234810059004,46.10262170601852,,24.785375000000002,1.526262289068656,274.54970588235295,-86.1857338220261,,-26.7868223408501
341,2018-08-08,1.1117914867871137,58.41771497827383,,25.489412499999997,1.6949214289964258,237.16571428571422,-86.1987102400382,,-27.067087659557
342,2018-08-09,0.2791060947050629,52.81662011388889,,25.93697083333333,1.5709006694170145,243.426,,,-26.2037991297059
343,2018-08-10,2.564860417361111,50.68487828125,,25.705233333333336,2.032516011139288,206.98600000000002,-86.7441909878452,,-26.008666938533
344,2018-08-11,0.8633384101190474,40.906958253968256,10.694728598217283,19.798904166666667,2.6830198744027265,102.55533333333332,,,-26.6634662713088
345,2018-08-12,-2.2560928700738194,32.84251230833332,6.0869177686061215,16.355756250000002,1.1724751081913078,151.35750000000002,,,-26.4869148888815
346,2018-08-13,-0.7000570642786851,42.42135516986358,11.72837252985812,19.53084166666667,2.129443940886246,211.4534210526316,-78.6484879937432,,-25.7555370595328
347,2018-08-14,-0.15487298416922937,52.00350200182129,,21.986145833333328,1.8716982509688622,105.71770833333333,-87.6028465080919,,
